Customer ID,Name,Gender,Age,Country,Product Purchased,Purchase Amount,Last Purchase Date,Membership Status,Feedback Score,Login Frequency,IsActiveMember,Customer Support Calls,Churn (Target Variable)
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Michael Stephens,Other,56,USA,Accessories,1914.24,2024-12-15,Gold,9,14,1,8,0
23b8c1e9-3924-46de-beb1-3b9046685257,Heather Sanders,Male,69,Germany,Tablet,1502,2025-03-06,Gold,10,15,1,0,1
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Bryan Charles,Male,46,Australia,Tablet,1153.27,2025-03-18,Platinum,6,4,1,0,1
972a8469-1641-4f82-8b9d-2434e465e150,Matthew May,Other,32,USA,Smartwatch,1262.27,2024-09-25,Gold,2,26,0,0,0
17fc695a-07a0-4a6e-8822-e8f36c031199,Alison Buchanan,Female,60,Australia,Tablet,897.24,2025-03-13,Silver,7,19,0,2,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Cameron Cunningham,Male,25,Germany,Tablet,570.69,2025-07-03,Silver,2,5,0,5,0
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Phillip Clark,Male,38,India,Tablet,776.35,2025-02-10,Gold,2,18,0,9,1
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Sergio Murphy,Male,56,India,Phone,1539.91,2025-06-08,Silver,1,24,1,2,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,Steven Smith,Other,36,Australia,Laptop,127.35,2024-12-17,Platinum,3,4,1,7,0
c241330b-01a9-471f-9e8a-774bcf36d58b,Brianna Anderson,Male,40,Germany,Phone,320.54,2025-07-19,Gold,6,2,0,9,0
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Christopher Guerrero,Other,28,UK,Tablet,187.41,2025-04-28,Platinum,8,26,1,1,0
371ecd7b-27cd-4130-8722-9389571aa876,Adrian Tyler,Other,28,UK,Laptop,177.38,2025-05-29,Silver,9,0,1,8,0
1a2a73ed-562b-4f79-8374-59eef50bea63,Franklin Thompson,Other,41,Australia,Accessories,1725.38,2024-08-24,Gold,7,25,1,2,1
5be6128e-18c2-4797-a142-ea7d17be3111,Patrick Fox,Male,53,Australia,Phone,1436.95,2024-08-23,Platinum,4,27,0,4,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Karen Strickland,Other,57,Australia,Phone,1000.93,2024-09-13,Silver,6,5,1,9,1
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Ashley Gordon,Female,41,India,Phone,285.88,2025-04-06,Gold,5,14,1,7,1
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Amanda Logan,Male,20,India,Smartwatch,1034.07,2025-06-06,None,8,1,0,1,0
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Kelly Ellis,Male,39,USA,Tablet,999.6,2025-06-26,Silver,1,28,0,5,0
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Amy Mendoza,Male,19,Canada,Accessories,429.08,2025-01-31,Silver,1,2,0,4,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Michael Henry,Male,41,India,Accessories,924.32,2024-08-12,None,6,16,0,9,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Angel Miller,Male,61,Germany,Accessories,857.16,2024-09-23,None,10,24,1,8,1
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Ana Hill,Other,47,UK,Tablet,1270.12,2025-08-01,Platinum,2,23,0,4,0
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Kimberly Nguyen,Other,55,UK,Laptop,1306.68,2025-07-05,Silver,5,11,1,1,0
7412b293-4729-4739-a14f-f3d719db3ad0,Kerry Chavez DDS,Male,19,Australia,Phone,186.08,2024-10-06,None,1,17,0,4,1
29a3b2e9-5d65-4441-9588-42dea2bc372f,Michael Farrell,Other,38,USA,Tablet,811.76,2025-01-24,Gold,7,14,1,3,0
ab9099a4-35a2-40ae-9af3-05535ec42e08,Patricia Le,Male,50,Australia,Phone,1289.13,2025-01-30,Silver,1,11,1,6,1
